,Name of the Company,BSE_Symbol,NSE_Symbol
0,Reliance Industries Ltd,500325,RELIANCE
1,HDFC Bank Ltd,500180,HDFCBANK
2,Tata Consultancy Services Ltd,532540,TCS
3,Bharti Airtel Ltd,532454,BHARTIARTL
4,ICICI Bank Ltd,532174,ICICIBANK
5,Infosys Ltd,500209,INFY
6,State Bank of India,500112,SBIN
7,Bajaj Finance Ltd,500034,BAJFINANCE
8,Hindustan Unilever Ltd,500696,HINDUNILVR
9,ITC Ltd,500875,ITC
10,Life Insurance Corporation of India,543526,LICI
11,Larsen & Toubro Ltd,500510,LT
12,HCL Technologies Ltd,532281,HCLTECH
13,Kotak Mahindra Bank Ltd,500247,KOTAKBANK
14,Sun Pharmaceuticals Industries Ltd,524715,SUNPHARMA
15,Maruti Suzuki India Ltd,532500,MARUTI
16,Mahindra & Mahindra Ltd,500520,M%26M
17,NTPC Ltd,532555,NTPC
18,Axis Bank Ltd,532215,AXISBANK
19,UltraTech Cement Ltd,532538,ULTRACEMCO
20,Wipro Ltd,507685,WIPRO
21,Oil & Natural Gas Corpn Ltd,500312,ONGC
22,Bajaj Finserv Ltd,532978,BAJAJFINSV
23,Titan Company Ltd,500114,TITAN
24,Adani Enterprises Ltd,512599,ADANIENT
25,Power Grid Corporation of India Ltd,532898,POWERGRID
26,JSW Steel Ltd,500228,JSWSTEEL
27,Adani Ports & Special Economic Zone Ltd,532921,ADANIPORTS
28,Tata Motors Ltd,500570,TATAMOTORS
29,Hindustan Aeronautics Ltd,541154,HAL
30,Coal India Ltd,533278,COALINDIA
31,Avenue Supermarts Ltd,540376,DMART
32,Zomato Ltd,543320,ZOMATO
33,Nestle India Ltd,500790,NESTLEIND
34,Asian Paints Ltd,500820,ASIANPAINT
35,Bajaj Auto Ltd,532977,BAJAJ-AUTO
36,Bharat Electronics Ltd,500049,BEL
37,Adani Power Ltd,533096,ADANIPOWER
38,Tata Steel Ltd,500470,TATASTEEL
39,Trent Ltd,500251,TRENT
40,Interglobe Aviation Ltd,539448,INDIGO
41,Siemens Ltd,500550,SIEMENS
42,Hindustan Zinc Ltd,500188,HINDZINC
43,Indian Oil Corporation Ltd,530965,IOC
44,Vedanta Ltd,500295,VEDL
45,DLF Ltd,532868,DLF
